"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.266512750E-1,-5.080000162E-1,1.008199978E1,8.000000119E-1,1.012643983E1
3.316585830E-1,-5.460000038E-1,1.008199978E1,6.850000024E-1,1.011998323E1
3.366654970E-1,-6.990000010E-1,1.000500011E1,6.470000148E-1,1.005023568E1
3.416741890E-1,-5.460000038E-1,9.967000008E0,6.850000024E-1,1.000542004E1
3.466830930E-1,-6.610000134E-1,9.967000008E0,6.470000148E-1,1.000982613E1
3.516924770E-1,-6.230000257E-1,9.967000008E0,4.939999878E-1,9.998662619E0
3.567012700E-1,-5.839999914E-1,9.890000343E0,5.320000052E-1,9.921501237E0
3.617100390E-1,-5.080000162E-1,9.967000008E0,5.320000052E-1,9.994107122E0
3.667170100E-1,-5.080000162E-1,9.928000450E0,5.320000052E-1,9.955213758E0
3.717237030E-1,-4.690000117E-1,1.004300022E1,4.939999878E-1,1.006607423E1
3.767300730E-1,-4.690000117E-1,1.000500011E1,4.560000002E-1,1.002636147E1
3.817383810E-1,-5.839999914E-1,9.967000008E0,4.939999878E-1,9.996308375E0
3.867466700E-1,-5.460000038E-1,1.004300022E1,4.560000002E-1,1.006816296E1
3.917552850E-1,-4.690000117E-1,1.019600010E1,5.320000052E-1,1.022063614E1
3.967641600E-1,-5.080000162E-1,1.023499966E1,6.850000024E-1,1.027046771E1
4.017729300E-1,-5.460000038E-1,1.015799999E1,8.000000119E-1,1.020407173E1
4.067816170E-1,-6.610000134E-1,1.008199978E1,8.389999866E-1,1.013842007E1
4.117906170E-1,-6.990000010E-1,1.011999989E1,8.769999743E-1,1.018195107E1
4.167996070E-1,-7.760000229E-1,1.019600010E1,8.769999743E-1,1.026302699E1
4.218079150E-1,-8.140000105E-1,1.027299976E1,8.769999743E-1,1.034244889E1
4.268146070E-1,-7.760000229E-1,1.027299976E1,9.150000215E-1,1.034281998E1
4.318214290E-1,-5.839999914E-1,1.031099987E1,9.539999962E-1,1.037149412E1
4.368282750E-1,-7.760000229E-1,1.031099987E1,9.150000215E-1,1.038056450E1
4.418347130E-1,-8.529999852E-1,1.035000038E1,9.150000215E-1,1.042532215E1
4.468408670E-1,-8.909999728E-1,1.023499966E1,8.000000119E-1,1.030480951E1
4.518469440E-1,-9.670000076E-1,1.023499966E1,7.239999771E-1,1.030604109E1
4.568532510E-1,-8.909999728E-1,1.015799999E1,6.850000024E-1,1.021998385E1
4.618602370E-1,-8.909999728E-1,1.023499966E1,5.320000052E-1,1.028747408E1
4.668672370E-1,-7.760000229E-1,1.023499966E1,4.560000002E-1,1.027449901E1
4.718740490E-1,-6.610000134E-1,1.023499966E1,2.639999986E-1,1.025971905E1
4.768812800E-1,-6.610000134E-1,1.019600010E1,1.870000064E-1,1.021911484E1
4.818879010E-1,-5.839999914E-1,1.015799999E1,1.870000064E-1,1.017649197E1
4.868962080E-1,-5.460000038E-1,1.011999989E1,2.259999961E-1,1.013723777E1
4.919048190E-1,-5.080000162E-1,1.008199978E1,2.259999961E-1,1.009731942E1
4.969135880E-1,-3.930000067E-1,1.011999989E1,2.639999986E-1,1.013106819E1
5.019215640E-1,-4.690000117E-1,1.004300022E1,2.639999986E-1,1.005741072E1
5.069301790E-1,-4.690000117E-1,1.004300022E1,3.409999907E-1,1.005972641E1
