"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.351569140E-1,8.700000048E-1,8.586999893E0,5.166999817E0,1.005939135E1
3.401650680E-1,7.940000296E-1,8.548999786E0,5.052999973E0,9.962361273E0
3.451732160E-1,8.320000172E-1,8.586999893E0,5.129000187E0,1.003670435E1
3.501816010E-1,7.170000076E-1,8.510999680E0,5.052999973E0,9.923911189E0
3.551897550E-1,7.940000296E-1,8.510999680E0,5.091000080E0,9.949162448E0
3.601968320E-1,6.790000200E-1,8.548999786E0,5.013999939E0,9.934114644E0
3.652033750E-1,6.409999728E-1,8.548999786E0,5.052999973E0,9.951335943E0
3.702100680E-1,7.170000076E-1,8.586999893E0,4.822999954E0,9.874815681E0
3.752166060E-1,6.790000200E-1,8.472999573E0,4.861000061E0,9.791939766E0
3.802235860E-1,7.549999952E-1,8.510999680E0,4.938000202E0,9.868687174E0
3.852305860E-1,6.790000200E-1,8.663999557E0,4.861000061E0,9.957672969E0
3.902373360E-1,7.170000076E-1,8.626000404E0,4.899000168E0,9.945962730E0
3.952438750E-1,7.170000076E-1,8.586999893E0,4.975999832E0,9.950438709E0
4.002502700E-1,7.549999952E-1,8.626000404E0,5.013999939E0,1.000590343E1
4.052571160E-1,6.790000200E-1,8.586999893E0,5.013999939E0,9.966835184E0
4.102635720E-1,7.940000296E-1,8.663999557E0,5.129000187E0,1.009960233E1
4.152698800E-1,8.320000172E-1,8.510999680E0,5.091000080E0,9.952267148E0
4.202773470E-1,8.320000172E-1,8.586999893E0,5.243999958E0,1.009595596E1
4.252857310E-1,8.320000172E-1,8.548999786E0,5.359000206E0,1.012405574E1
4.302935000E-1,8.320000172E-1,8.663999557E0,5.205999851E0,1.014196957E1
4.353009520E-1,7.940000296E-1,8.548999786E0,5.166999817E0,1.002066467E1
4.403088750E-1,7.170000076E-1,8.626000404E0,5.091000080E0,1.004192481E1
4.453172600E-1,7.940000296E-1,8.586999893E0,5.052999973E0,9.994989342E0
4.503254140E-1,7.549999952E-1,8.472999573E0,4.938000202E0,9.835933751E0
4.553335190E-1,6.790000200E-1,8.510999680E0,4.975999832E0,9.882243212E0
4.603414420E-1,6.409999728E-1,8.548999786E0,4.899000168E0,9.874030634E0
4.653488270E-1,5.640000105E-1,8.510999680E0,4.783999920E0,9.779665986E0
4.703549810E-1,4.869999886E-1,8.510999680E0,4.822999954E0,9.794672689E0
4.753615090E-1,4.490000010E-1,8.472999573E0,4.899000168E0,9.797628560E0
4.803680480E-1,4.110000134E-1,8.434000015E0,4.783999920E0,9.705046754E0
4.853738850E-1,4.869999886E-1,8.510999680E0,4.938000202E0,9.851808490E0
4.903801930E-1,4.869999886E-1,8.510999680E0,5.129000187E0,9.948915893E0
4.953867550E-1,4.110000134E-1,8.548999786E0,4.938000202E0,9.881202576E0
5.003929860E-1,4.869999886E-1,8.548999786E0,4.975999832E0,9.903693284E0
5.053997540E-1,2.960000038E-1,8.586999893E0,5.013999939E0,9.948084165E0
5.104059850E-1,4.490000010E-1,8.510999680E0,5.052999973E0,9.908154484E0
5.154115480E-1,4.110000134E-1,8.548999786E0,5.013999939E0,9.919400876E0
5.204169330E-1,4.869999886E-1,8.510999680E0,5.013999939E0,9.890120319E0
